OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
,24,1493,כפר עציון מגדל עוז ראש צורים אלון שבות בת עין ומכללת הרצוג,מגורים+ מכללה אקדמאית,7348,18249421,מגורים,0,1,0,0,1,0,0,1,0,1,2,0,0,0,1,2,1.315110238391858,202204,21791.329119975809590,18249420.694456510245800
,13,444,פתח תקווה,מגורים,2499,297311,מגורים,7900,1,0,0,1,0,0,0,1,1,2,0,0,0,1,2,43.725241135259857,202204,2546.134848390542174,297311.110527343698777
,1,1111,ירושלים,מגורים,5733,515973,מגורים,3000,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1.938085267241740,202204,2919.930046273959306,515973.170480361965019
,6,62,תל אביב -יפו,בית חולים+מגורים,1116,123728,מגורים,5000,1,0,0,1,0,0,1,0,1,2,0,0,0,1,2,48.493464386140580,202204,1460.084725589467553,123728.013165312193451
,0,1737,חיפה,אוניברסיטה,628,722308,מוסדי/ציבורי,4000,2,,,,,,,,,,,,,,,0.000000000000000,202204,3508.705272859201159,722308.466126532410271
,0,2442,באר שבע,שטח פתוח,0,5352078,פנאי/טבע/ספורט,9000,3,,,,,,,,,,,,,,,0.000000000000000,202204,10491.410593357893958,5352078.301794345490634
,14,688,נתניה,מגורים,4262,270449,מגורים,7400,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,51.765677991612073,202204,2053.575927834086997,270449.466580318170600
,46,2060,בענה,מגורים,8300,3494445,מגורים,483,1,0,0,3,0,1,2,0,3,2,0,0,0,2,2,13.163749266239998,202204,9521.296852751986080,3494445.166771178133786
,6,1330,גבע בנימין,מגורים,5525,3723859,מגורים,0,1,0,0,5,0,3,2,0,5,2,0,0,0,1,2,1.611231961986859,202204,8530.044328745843814,3723858.601092556491494
,12,281,יהוד,מגורים,2518,373126,מגורים,9400,1,0,1,0,0,0,1,0,1,2,0,1,0,0,2,32.160745522305938,202204,2861.198055965901403,373125.678684192243963
,0,1972,טמרה,מגורים,3518,1433279,מגורים,8900,1,,,,,,,,,,,,,,,0.000000000000000,202204,5334.785010254645385,1433279.416260779835284
,48,923,שילת כפר רות לפיד,מגורים,3468,6370932,מגורים,0,1,0,0,1,0,0,0,1,1,2,0,0,0,2,2,7.534219116888442,202204,12238.499694406425988,6370932.309680890291929
,10,1590,ברקן קריית נטפים רבבה,מגורים,5238,7358133,מגורים,0,1,1,3,3,0,0,7,0,7,4,0,0,0,3,4,1.359040451071152,202204,13312.333065108230585,7358132.712030995637178
,3,2551,חורה,מגורים,21559,8693625,מגורים,1303,1,0,1,0,1,1,0,0,1,2,0,2,0,0,2,0.345080459900284,202204,13614.480860213119740,8693624.671958809718490
